subgroup,date,approval,disapproval
Voters,01.06.2020,43.201541,53.763417
Voters,31.05.2020,43.388398,53.407222
Adults,31.05.2020,43.126314,53.101491
Adults,30.05.2020,42.551211,53.377343
Voters,30.05.2020,42.90888,53.676659
Adults,29.05.2020,42.551211,53.377343
Voters,29.05.2020,42.90888,53.676659
Voters,28.05.2020,42.912593,53.782857
Adults,28.05.2020,42.552145,53.301152
Voters,27.05.2020,42.714451,53.962761
Adults,27.05.2020,42.509956,53.315654
Adults,26.05.2020,42.756754,53.453191
Voters,26.05.2020,42.812703,53.806931
Adults,25.05.2020,42.730804,53.364728
Voters,25.05.2020,42.800166,53.727529
Voters,24.05.2020,43.037367,53.606342
Adults,24.05.2020,42.730804,53.364728
Voters,23.05.2020,43.037367,53.606342
Adults,23.05.2020,42.730804,53.364728
Adults,22.05.2020,42.730804,53.364728
Voters,22.05.2020,43.037367,53.606342
Voters,21.05.2020,43.228182,53.413231
Adults,21.05.2020,42.606297,53.321552
Adults,20.05.2020,43.364133,52.308899
Voters,20.05.2020,43.800054,52.490543
Adults,19.05.2020,43.587932,52.286891
Voters,19.05.2020,43.702583,52.647876
Voters,18.05.2020,44.102952,52.172594
Adults,18.05.2020,43.789593,51.785875
Adults,17.05.2020,43.868388,51.63984
Voters,17.05.2020,44.221837,52.075628
Adults,16.05.2020,43.868388,51.63984
Voters,16.05.2020,44.221837,52.075628
Voters,15.05.2020,44.288291,51.999665
Adults,15.05.2020,43.868388,51.63984
Voters,14.05.2020,44.292958,51.981953
Adults,14.05.2020,43.279756,51.975325
Adults,13.05.2020,43.266949,51.878251
Voters,13.05.2020,44.297034,51.855194
Voters,12.05.2020,44.654207,51.547828
Adults,12.05.2020,43.339985,51.667014
Adults,11.05.2020,43.461749,50.849891
Voters,11.05.2020,44.176054,52.019713
Voters,10.05.2020,44.22521,51.896437
Adults,10.05.2020,43.322878,50.617221
Adults,09.05.2020,43.322878,50.617221
Voters,09.05.2020,44.22521,51.896437
Adults,08.05.2020,43.322878,50.617221
Voters,08.05.2020,44.105623,51.994272
Voters,07.05.2020,44.056065,52.005635
Adults,07.05.2020,43.415405,50.477516
Adults,06.05.2020,43.556467,50.233739
Voters,06.05.2020,44.069444,52.062152
Adults,05.05.2020,43.46774,50.196977
Voters,05.05.2020,43.621702,52.24917
Voters,04.05.2020,43.3071,52.535393
Adults,04.05.2020,44.031378,49.523166
Voters,03.05.2020,43.145933,52.42157
Adults,03.05.2020,43.984782,49.336269
Adults,02.05.2020,43.984782,49.336269
Voters,02.05.2020,43.145933,52.42157
Voters,01.05.2020,43.035872,52.504502
Adults,01.05.2020,43.984782,49.336269
Voters,30.04.2020,42.842148,52.644868
Adults,30.04.2020,43.659526,51.651923
Voters,29.04.2020,42.723025,52.614647
Adults,29.04.2020,43.021307,52.159112
Adults,28.04.2020,43.156577,51.925153
Voters,28.04.2020,42.691683,52.710678
Adults,27.04.2020,43.134294,52.092446
Voters,27.04.2020,43.652574,52.622846
Voters,26.04.2020,43.815235,52.459453
Adults,26.04.2020,43.256444,51.904479
Adults,25.04.2020,43.256444,51.904479
Voters,25.04.2020,43.815235,52.459453
Adults,24.04.2020,43.256444,51.904479
Voters,24.04.2020,43.816765,52.398494
Voters,23.04.2020,43.776987,52.476629
Adults,23.04.2020,43.278319,52.127499
Voters,22.04.2020,43.933659,52.284721
Adults,22.04.2020,43.21908,52.138887
Adults,21.04.2020,43.219237,51.955577
Voters,21.04.2020,44.238495,52.15145
Voters,20.04.2020,44.318684,52.271036
Adults,20.04.2020,43.788779,51.854119
Adults,19.04.2020,43.729986,51.718706
Voters,19.04.2020,44.455582,52.019311
Voters,18.04.2020,44.452591,52.070581
Adults,18.04.2020,43.729986,51.718706
Adults,17.04.2020,43.729986,51.718706
Voters,17.04.2020,44.390624,52.183793
Adults,16.04.2020,43.729986,51.718706
Voters,16.04.2020,44.477315,52.129322
Voters,15.04.2020,44.7615,51.533103
Adults,15.04.2020,43.994962,50.842083
Voters,14.04.2020,44.645348,51.774275
